,no,co,cl,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,sa,mw,pr,on,ra,h,si,nx,rp,f,hf,vu,fa,sp
2131,24.904,24,904,0,0,1,0,0,0,0,0,3,0,9,U,[''],['24.934'],"[['24.900', '24.9000']]",,6.47,7.65,9.0,0,0,0,0,12.0,0,1
2132,24.905,24,905,0,0,0,0,0,0,0,1,3,3,6,U,['9.59'],[''],[],,6.27,11.8,9.0,0,0,0,0,12.0,0,1
2133,24.906,24,906,0,0,1,0,1,0,0,0,3,0,9,U,['21G.024'],[''],"[['24.900'], ['24.9000']]",,6.4,6.9,20.0,0,0,0,0,12.0,1,0
2134,24.908,24,908,0,0,1,0,1,0,0,0,3,0,9,U,[''],[''],[],,5.67,9.5,4.33,0,0,0,0,12.0,0,1
2135,24.912,24,912,1,0,0,0,1,0,0,0,3,0,9,U,"['21H.106', ' 21L.008', ' 21W.741', ' CMS.150', ' WGS.190']",[''],[],,5.9,8.33,13.67,0,0,0,0,12.0,0,1
2136,24.914,24,914,0,0,1,0,0,0,0,0,3,0,9,U,[''],[''],"[['24.900', '24.9000']]",,6.05,8.85,9.0,0,0,0,0,12.0,0,1
2137,24.916,24,916,1,0,0,0,0,0,0,0,3,0,9,U,['21L.601'],[''],[],,6.8,8.5,27.0,1,0,0,0,12.0,0,1
2138,24.918,24,918,0,0,1,0,0,0,0,0,3,0,9,U,[''],[''],"[['24.901'], ['24.902'], ['24.903']]",,5.9,7.1,3.67,0,0,0,0,12.0,0,1
2139,24.919,24,919,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2140,24.921,24,921,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2141,24.922,24,922,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2142,24.93,24,93,0,0,0,0,0,0,0,0,1,0,1,U,[''],['24.A03'],[],,6.4,1.8,74.0,0,0,0,0,2.0,1,0
2143,24.931,24,931,0,0,0,0,0,0,0,0,3,0,9,G,[''],['24.901'],"[['24.900'], ['24.9000']]",,6.2,6.9,21.0,0,0,1,0,12.0,1,0
2144,24.932,24,932,0,0,0,0,0,0,0,0,3,0,9,G,[''],['24.902'],"[['24.900', '24.9000']]",,6.07,7.56,22.0,0,0,1,0,12.0,1,1
2145,24.933,24,933,0,0,0,0,0,0,0,0,3,0,9,G,[''],['24.903'],"[['24.900', '24.9000']]",,5.67,6.02,22.5,0,0,0,0,12.0,0,1
2146,24.934,24,934,0,0,0,0,0,0,0,0,3,0,9,G,[''],['24.904'],[['24.900']],,6.47,7.65,0.0,0,0,0,0,12.0,0,1
2147,24.942,24,942,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['24.951']],,5.15,8.5,9.5,0,1,0,0,12.0,0,1
2148,24.943,24,943,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,7.0,7.0,2.0,0,0,0,0,12.0,1,0
2149,24.948,24,948,0,0,0,0,0,0,0,0,3,0,6,G,[''],[''],[],,7.0,6.0,2.0,0,0,0,0,9.0,0,1
2150,24.951,24,951,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.3,10.0,6.7,0,0,0,0,12.0,1,0
2151,24.952,24,952,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['24.951']],,5.92,10.03,9.0,0,0,0,0,12.0,0,1
2152,24.955,24,955,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],"[['24.951'], ['24.952']]",,7.0,7.0,11.0,0,0,0,0,12.0,1,0
2153,24.956,24,956,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['24.951']],,6.1,8.0,7.67,0,1,0,0,12.0,1,1
2154,24.961,24,961,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.2,11.1,6.0,0,0,0,0,12.0,1,0
