,no,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,mw,sa,pr,ra,h,co_1,co_10,co_11,co_12,co_14,co_15,co_16,co_17,co_18,co_2,co_20,co_21,co_21A,co_21G,co_21H,co_21L,co_21M,co_21W,co_22,co_24,co_3,co_4,co_5,co_6,co_7,co_8,co_9,co_AS,co_CC,co_CDO,co_CMS,co_CSB,co_CSE,co_EC,co_EM,co_ES,co_ESD,co_HST,co_IDS,co_MAS,co_MS,co_NS,co_OR,co_RED,co_SCM,co_SDM,co_SP,co_STS,co_WGS,has_pr,avg_pr_ra,max_pr_ra,avg_pr_h,max_pr_h
1567,21A.157,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1568,21A.301,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.4,8.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1569,21A.303,0,0,1,0,0,0,0,0,3,0,9,0,[''],['STS.060'],[],6.6,7.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1570,21A.311,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.302759226974879,8.775574531600673,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1571,21A.312,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.302759226974879,8.775574531600673,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1572,21A.407,0,0,1,0,0,0,0,0,3,0,9,0,[''],"['21G.057', ' STS.022', ' WGS.275']",[],5.2,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1573,21A.429,0,0,0,0,0,0,0,0,3,0,9,1,[''],['STS.320'],[],6.85,11.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1574,21A.461,0,0,1,0,1,0,0,0,3,0,9,0,[''],[''],[],5.6,7.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1575,21A.500,0,0,1,0,0,0,0,0,2,0,7,0,[''],['STS.075'],[],5.7,6.44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1576,21A.502,0,0,1,0,0,0,0,0,3,0,9,0,[''],[''],[],6.302759226974879,8.775574531600673,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
